,id,name,area_name,salary_from,salary_to,salary_ccy,salary_gross
16013,46894116,Специалист по поддержке пользователей,Самара,,,,
16017,46895300,Стажер-разработчик Oracle,Екатеринбург,,,,
16018,46895320,Инженер по сопровождению ПП 1С,Волгоград,25000.0,,RUR,False
16019,46895407,DevOps Engineer,Санкт-Петербург,,,,
16020,46895570,Тестировщик-автоматизатор (JAVA),Москва,,,,
16021,46895782,Стажер-тестировщик игрового ПО,Саранск,17000.0,,RUR,False
16022,46895964,Android-разработчик,Москва,,250000.0,RUR,False
16024,46896108,QA специалист,Саранск,20500.0,110000.0,RUR,False
16025,46896427,Игровой тестировщик,Саранск,17000.0,110000.0,RUR,False
16027,46896697,Специалист по тестированию,Саранск,,,,
16028,46896742,Разработчик C# (СУИБ),Санкт-Петербург,,,,
16030,46896849,Стажер-тестировщик игр,Саранск,17000.0,,RUR,False
16033,46898792,Специалист службы поддержки пользователей,Москва,25000.0,35000.0,RUR,False
16035,46899230,Java-разработчик,Москва,,,,
16043,46901230,Инженер технической поддержки,Екатеринбург,,,,
16044,46901369,"Менеджер отдела сопровождения (CRM Битрикс24, Удаленно)",Санкт-Петербург,20000.0,140000.0,RUR,True
