,id,area_name,address_lat,address_lng,employer_id,employer_name
37544,48541808,Ульяновск,54.320883,48.397607,1302041,Суточно.ру
37545,48541810,Москва,55.816586,37.619432,2850,"НТВ, Телекомпания"
37548,48541911,Санкт-Петербург,59.878432,30.25834,5629255,Завод Универсалмаш
37557,48542242,Москва,55.974332,37.517886,20224,TJ Collection
37558,48542292,Оренбург,51.77341,55.113592,4073,Т Плюс
37559,48542449,Москва,55.731242,37.561095,5178096,PSI Logistics
37567,48542593,Альметьевск,,,1740,Яндекс
37568,48542617,Новомосковск (Тульская область),,,1740,Яндекс
37569,48542632,Орехово-Зуево,,,1740,Яндекс
37570,48542642,Ногинск,,,1740,Яндекс
37572,48542656,Кисловодск,,,1740,Яндекс
37573,48542674,Арзамас,,,1740,Яндекс
37574,48542683,Сергиев Посад,,,1740,Яндекс
37575,48542696,Новотроицк (Оренбургская область),,,1740,Яндекс
37576,48542716,Ульяновск,,,1740,Яндекс
37577,48542727,Иваново (Ивановская область),,,1740,Яндекс
37578,48542738,Смоленск,,,1740,Яндекс
